Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI,,,,,,,,,,,,,,,,,,,,,,,
Pachynus Pr.,http://pleiades.stoa.org/places/462405,"36.6889, 15.15379",Capo Passero,http://www.geonames.org/2523870/capo-passero.html,,,,,,,,,,,,,,,,,,,,,,,
Panhormus,http://pleiades.stoa.org/places/462410,"38.13205, 13.33561",Palermo,http://www.geonames.org/2523920/palermo.html,,,,,,,,,,,,,,,,,,,,,,,
Parthenicum (?),http://pleiades.stoa.org/places/462413,"38.04657, 13.11785",Partinico,http://www.geonames.org/2523871/partinico.html,,,,,,,,,,,,,,,,,,,,,,,
Krastos (?),http://pleiades.stoa.org/places/465935,"37.67894, 13.60346",Castronuovo di Sicilia,http://pleiades.stoa.org/places/816414429,,,,,,,,,,,,,,,,,,,,,,,
Philosophiana,http://pleiades.stoa.org/places/462423,"37.30188, 14.20959",Mazzarino,http://www.geonames.org/2524200/mazzarino.html,,,,,,,,,,,,,,,,,,,,,,,
"Phoenicusa, ins.",http://pleiades.stoa.org/places/462425,"38.566667, 14.566667",Filicudi,http://www.geonames.org/2524753/isola-filicudi.html,,,,,,,,,,,,,,,,,,,,,,,
Piazza Armerina,http://pleiades.stoa.org/places/462435,"37.38417, 14.36921",Piazza Armerina,http://www.geonames.org/2523796/piazza-armerina.html,,,,,,,,,,,,,,,,,,,,,,,
Phintias,http://pleiades.stoa.org/places/462424,"37.10267, 13.93972",Licata,http://www.geonames.org/2524393/licata.html,,,,,,,,,,,,,,,,,,,,,,,
"Phorbantia, ins.",http://pleiades.stoa.org/places/462428,"37.987235, 12.339898",Levanzo,http://www.geonames.org/2524396/isola-di-levanzo.html,,,,,,,,,,,,,,,,,,,,,,,
Segesta,http://pleiades.stoa.org/places/462487,"37.94171, 12.83649",Archaeological site of Segesta,http://www.geonames.org/2523171/segesta.html,,,,,,,,,,,,,,,,,,,,,,,
Selinus,http://pleiades.stoa.org/places/462489,"37.58337, 12.82522",Archaeological site of Selinunte,http://www.geonames.org/2523164/parco-archeologico-di-selinunte.html,,,,,,,,,,,,,,,,,,,,,,,
Sicilia,http://pleiades.stoa.org/places/462492,,Sicilia,http://www.geonames.org/2523119/sicilia.html,,,,,,,,,,,,,,,,,,,,,,,
Soluntum,http://pleiades.stoa.org/places/462498,"38.09296, 13.53147",Archaeological site of Solunto,http://www.geonames.org/2523057/rovine-di-solunto.html,,,,,,,,,,,,,,,,,,,,,,,
Styella (?),http://pleiades.stoa.org/places/462500,"37.19182, 14.93654",Pedagaggi,http://www.geonames.org/2523852/pedagaggi.html,,,,,,,,,,,,,,,,,,,,,,,
