Ancient place name,Pleiades URI,latlong,Modern name,Geonames URI
Selinus,http://pleiades.stoa.org/places/462489,"37.58337, 12.82522",Selinunte,http://sws.geonames.org/2523164/
Sicilia,http://pleiades.stoa.org/places/462492,,Sicilia,http://sws.geonames.org/2523119/
Soluntum,http://pleiades.stoa.org/places/462498,"38.09296, 13.53147",Solunto,http://sws.geonames.org/2523057/
Styella (?),http://pleiades.stoa.org/places/462500,"37.19182, 14.93654",Pedagaggi,http://sws.geonames.org/2523852/
Syracusae,http://pleiades.stoa.org/places/462503,"37.08415, 15.27628",Siracusa,http://sws.geonames.org/2523083/
Tauromenium,http://pleiades.stoa.org/places/462506,"37.85358, 15.28851",Taormina,http://sws.geonames.org/2522975/
Thermae Himeraeae,http://pleiades.stoa.org/places/462513,"37.98365, 13.69555",Termini Imerese,http://sws.geonames.org/6539140/
Thermae Selinuntiae,http://pleiades.stoa.org/places/462514,"37.50693, 13.08399",Sciacca,http://sws.geonames.org/2523194/
Tyndaris,http://pleiades.stoa.org/places/462527,"38.14227, 15.04385",Tindari,http://sws.geonames.org/10282151/
"Ustica, ins.",http://pleiades.stoa.org/places/1361,"38.71076, 13.19163",Ustica,http://sws.geonames.org/6541326/
,,"37.41468, 14.44542",Aidone,http://sws.geonames.org/2525761/
,,"37.02318, 14.49302",Acate,http://sws.geonames.org/6542105/
,,"37.9779, 12.96473",Alcamo,http://sws.geonames.org/2525755/
,,"37.24065, 15.22121",Augusta,http://sws.geonames.org/2525646/
,,"36.9084, 15.13937",Avola,http://sws.geonames.org/2525643/
,,"38.14772, 15.21469",Barcellona Pozzo di Gotto,http://sws.geonames.org/2525597/
,,"37.08839, 15.21314",Belvedere,http://sws.geonames.org/2525566/
,https://pleiades.stoa.org/places/462114,"37.061394, 14.260346",Bitalemi,
,http://pleiades.stoa.org/places/462120,"37.0790016, 14.8863106",Buscemi,http://sws.geonames.org/2525483/
,,"37.9144, 12.86364",Calatafimi,http://sws.geonames.org/2525458/
,,"37.49025, 14.06216",Caltanissetta,http://sws.geonames.org/2525448/
